,Date,Open,High,Low,Close,Adj Close,Volume
263,2021-06-21,2203.5,2247.5,2200.149902,2237.25,2237.25,5624044
264,2021-06-22,2254.0,2261.0,2219.350098,2225.75,2225.75,5940386
265,2021-06-23,2250.0,2250.600098,2201.699951,2205.350098,2205.350098,7685796
266,2021-06-24,2206.850098,2214.600098,2140.0,2153.5,2153.5,42209687
267,2021-06-25,2153.5,2153.5,2081.100098,2104.449951,2104.449951,25546334
268,2021-06-28,2122.0,2126.5,2081.0,2086.0,2086.0,9357852
269,2021-06-29,2089.5,2109.0,2084.100098,2087.800049,2087.800049,12526981
270,2021-06-30,2096.25,2122.649902,2091.050049,2110.649902,2110.649902,9120556
271,2021-07-01,2118.0,2123.149902,2095.0,2097.949951,2097.949951,5784627
272,2021-07-02,2097.0,2132.899902,2092.949951,2129.050049,2129.050049,6500973
273,2021-07-05,2136.449951,2153.550049,2131.5,2150.199951,2150.199951,5400604
274,2021-07-06,2144.949951,2148.899902,2120.199951,2124.800049,2124.800049,4647361
275,2021-07-07,2127.75,2127.75,2098.0,2110.050049,2110.050049,4824931
276,2021-07-08,2116.949951,2116.949951,2081.0,2092.600098,2092.600098,5162088
277,2021-07-09,2088.0,2091.699951,2066.100098,2071.199951,2071.199951,4170886
278,2021-07-12,2079.75,2101.5,2074.5,2084.100098,2084.100098,3962111
279,2021-07-13,2100.0,2103.050049,2088.050049,2099.699951,2099.699951,3099956
280,2021-07-14,2100.350098,2106.850098,2081.25,2086.0,2086.0,3937768
281,2021-07-15,2095.0,2095.0,2078.5,2082.350098,2082.350098,4360415
282,2021-07-16,2087.75,2114.75,2087.600098,2112.399902,2112.399902,4074206
283,2021-07-19,2100.0,2124.0,2092.25,2098.949951,2098.949951,3855577
284,2021-07-20,2099.5,2108.0,2084.0,2093.800049,2093.800049,3111185
285,2021-07-22,2119.0,2123.899902,2098.149902,2120.699951,2120.699951,3679260
286,2021-07-23,2134.449951,2134.449951,2102.050049,2105.699951,2105.699951,4585938
287,2021-07-26,2108.0,2121.0,2071.100098,2076.850098,2076.850098,5717830
288,2021-07-27,2076.800049,2083.699951,2042.0,2055.0,2055.0,4995516
289,2021-07-28,2058.0,2058.0,2016.25,2037.349976,2037.349976,5952355
290,2021-07-29,2054.0,2074.399902,2043.400024,2053.25,2053.25,6352886
291,2021-07-30,2058.0,2067.949951,2031.099976,2035.300049,2035.300049,5238304
292,2021-08-02,2054.300049,2079.399902,2041.150024,2072.5,2072.5,5041934
293,2021-08-03,2090.0,2091.0,2064.199951,2087.75,2087.75,5453682
294,2021-08-04,2094.399902,2114.0,2087.0,2103.75,2103.75,6077861
295,2021-08-05,2114.300049,2154.800049,2104.25,2134.25,2134.25,9807831
296,2021-08-06,2129.949951,2146.949951,2078.75,2089.050049,2089.050049,7670583
297,2021-08-09,2081.0,2089.800049,2066.5,2077.149902,2077.149902,3458546
298,2021-08-10,2082.0,2113.0,2073.75,2088.050049,2088.050049,5500708
299,2021-08-11,2096.949951,2120.0,2083.399902,2117.300049,2117.300049,4238859
300,2021-08-12,2124.899902,2126.199951,2105.0,2110.5,2110.5,3755507
301,2021-08-13,2117.300049,2149.899902,2108.949951,2145.649902,2145.649902,5898384
302,2021-08-16,2149.350098,2203.0,2128.149902,2173.5,2173.5,10123204
303,2021-08-17,2168.850098,2185.199951,2147.850098,2164.25,2164.25,5841743
304,2021-08-18,2174.0,2186.800049,2152.600098,2172.649902,2172.649902,4650008
305,2021-08-20,2143.0,2172.0,2137.0,2148.25,2148.25,4350228
306,2021-08-23,2174.0,2174.0,2132.300049,2162.350098,2162.350098,4547802
307,2021-08-24,2165.050049,2192.0,2155.600098,2183.699951,2183.699951,5475452
308,2021-08-25,2185.399902,2220.0,2180.100098,2202.600098,2202.600098,6175126
309,2021-08-26,2208.0,2244.899902,2205.0,2230.449951,2230.449951,8579105
310,2021-08-27,2237.0,2242.75,2216.050049,2227.399902,2227.399902,4836812
311,2021-08-30,2250.0,2275.850098,2236.800049,2270.25,2270.25,6473487
312,2021-08-31,2276.899902,2283.75,2242.25,2258.149902,2258.149902,12223037
313,2021-09-01,2273.0,2292.899902,2263.0,2267.100098,2267.100098,5143640
314,2021-09-02,2255.0,2307.800049,2255.0,2294.399902,2294.399902,4595048
315,2021-09-03,2310.0,2395.0,2302.5,2388.5,2388.5,14151629
316,2021-09-06,2413.0,2480.0,2412.0,2425.600098,2425.600098,15525644
317,2021-09-07,2430.0,2458.0,2412.0,2440.899902,2440.899902,8006968
318,2021-09-08,2452.0,2454.0,2406.649902,2431.350098,2431.350098,6600210
319,2021-09-09,2427.899902,2437.850098,2416.100098,2425.600098,2425.600098,4136538
320,2021-09-13,2433.0,2433.0,2368.050049,2371.550049,2371.550049,7527598
321,2021-09-14,2375.0,2394.0,2366.0,2368.449951,2368.449951,4111205
322,2021-09-15,2368.5,2395.75,2368.5,2378.300049,2378.300049,4186300
323,2021-09-16,2381.550049,2436.75,2367.0,2428.199951,2428.199951,6206657
324,2021-09-17,2446.0,2455.850098,2375.600098,2390.550049,2390.550049,16098099
325,2021-09-20,2372.100098,2418.350098,2370.0,2394.350098,2394.350098,5436385
326,2021-09-21,2405.0,2416.600098,2384.0,2404.699951,2404.699951,4576111
327,2021-09-22,2408.0,2442.0,2398.25,2430.5,2430.5,5074612
328,2021-09-23,2447.399902,2497.0,2445.5,2489.899902,2489.899902,7267883
329,2021-09-24,2503.550049,2505.449951,2472.0,2482.699951,2482.699951,7011181
330,2021-09-27,2487.0,2529.899902,2475.300049,2524.449951,2524.449951,7095022
331,2021-09-28,2534.0,2564.899902,2512.800049,2548.050049,2548.050049,8323269
332,2021-09-29,2570.0,2570.0,2520.050049,2527.850098,2527.850098,4485721
333,2021-09-30,2525.0,2534.600098,2500.350098,2519.25,2519.25,6272085
334,2021-10-01,2501.949951,2539.800049,2495.0,2523.699951,2523.699951,4134544
335,2021-10-04,2553.0,2574.850098,2537.050049,2556.149902,2556.149902,5038910
336,2021-10-05,2555.100098,2612.0,2547.350098,2609.199951,2609.199951,6245770
337,2021-10-06,2619.949951,2619.949951,2551.100098,2559.850098,2559.850098,4734472
