Date,Close,Company,Open,High,Low,Adj Close,Volume
04/02/20,1413.006104,RELIANCE.NS,1386.854004,1419.048828,1384.674683,1403.206299,11714666.0
05/02/20,1434.89856,RELIANCE.NS,1421.42627,1439.158203,1416.869507,1424.946899,8524871.0
06/02/20,1444.111328,RELIANCE.NS,1440.446045,1453.224854,1426.577515,1434.095825,7171051.0
07/02/20,1420.187988,RELIANCE.NS,1437.375122,1438.712402,1414.888306,1410.338379,5634549.0
10/02/20,1422.119751,RELIANCE.NS,1414.591064,1431.926758,1397.205933,1412.256836,6988250.0
11/02/20,1439.108643,RELIANCE.NS,1433.80896,1452.432373,1431.480957,1429.127808,6460912.0
12/02/20,1456.493896,RELIANCE.NS,1442.476807,1461.001221,1441.337524,1446.392456,6245738.0
13/02/20,1460.307739,RELIANCE.NS,1463.873901,1463.873901,1448.866211,1450.179932,6260549.0
14/02/20,1473.63147,RELIANCE.NS,1463.378662,1487.35144,1439.455444,1463.411255,9796645.0
17/02/20,1464.369263,RELIANCE.NS,1475.018311,1492.007202,1460.456299,1454.213257,6068321.0
18/02/20,1453.621094,RELIANCE.NS,1462.04126,1462.04126,1443.714966,1443.539551,5135183.0
19/02/20,1489.679321,RELIANCE.NS,1465.458862,1492.304443,1461.248779,1479.347778,6499952.0
20/02/20,1471.996948,RELIANCE.NS,1482.943237,1493.839844,1469.867188,1461.787964,7795779.0
24/02/20,1431.381958,RELIANCE.NS,1455.949097,1463.130981,1426.032593,1421.454712,9862350.0
25/02/20,1403.099976,RELIANCE.NS,1437.771362,1437.771362,1396.760132,1393.368896,12804341.0
26/02/20,1378.929077,RELIANCE.NS,1396.760132,1399.088013,1374.322754,1369.365601,13550903.0
27/02/20,1373.233154,RELIANCE.NS,1374.966675,1380.71228,1356.145142,1363.709229,11562875.0
28/02/20,1316.17395,RELIANCE.NS,1342.17749,1344.257813,1312.558228,1307.045654,18144221.0
02/03/20,1303.791382,RELIANCE.NS,1342.37561,1356.145142,1288.88269,1294.749023,13614473.0
03/03/20,1330.240601,RELIANCE.NS,1317.214111,1341.18689,1309.586426,1321.014771,12644541.0
04/03/20,1327.120239,RELIANCE.NS,1339.304688,1341.087769,1295.618774,1317.916138,10201574.0
05/03/20,1298.838257,RELIANCE.NS,1339.502808,1345.198853,1293.736694,1289.830322,14080540.0
06/03/20,1259.065308,RELIANCE.NS,1258.074707,1276.054321,1229.446045,1250.333252,15568253.0
09/03/20,1103.68811,RELIANCE.NS,1228.405884,1229.347046,1084.718018,1096.033569,40698294.0
11/03/20,1142.71814,RELIANCE.NS,1097.595947,1167.384399,1097.595947,1134.792969,27495503.0
12/03/20,1053.018433,RELIANCE.NS,1074.81189,1090.661621,1038.852661,1045.715332,25830369.0
13/03/20,1094.921265,RELIANCE.NS,988.628784,1129.29541,933.550842,1087.327637,33826739.0
16/03/20,1006.162598,RELIANCE.NS,1050.591431,1069.561646,995.563049,999.184448,17759556.0
17/03/20,998.534912,RELIANCE.NS,1037.416382,1050.046631,993.779968,991.60968,20973312.0
18/03/20,959.405762,RELIANCE.NS,1015.672424,1026.172852,951.976196,952.751892,20643079.0
19/03/20,909.082825,RELIANCE.NS,911.460266,957.919861,883.822266,902.777954,28337941.0
20/03/20,1008.391479,RELIANCE.NS,930.678101,1025.182251,921.267334,1001.397888,29240849.0
23/03/20,875.748779,RELIANCE.NS,907.596863,941.079529,867.427673,869.67511,18769636.0
24/03/20,934.541504,RELIANCE.NS,921.267334,960.891724,887.388428,928.06012,21106643.0
25/03/20,1072.087646,RELIANCE.NS,954.749939,1140.736938,954.205078,1064.652222,33749620.0
26/03/20,1056.188354,RELIANCE.NS,1085.510498,1106.412354,1032.562378,1048.863281,21111073.0
27/03/20,1055.593994,RELIANCE.NS,1084.718018,1096.902466,1036.376221,1048.273071,19225132.0
30/03/20,1020.774109,RELIANCE.NS,1030.828735,1064.707642,1010.42218,1013.694641,13951078.0
31/03/20,1103.29187,RELIANCE.NS,1063.865601,1119.191162,1038.159302,1095.640137,20441125.0
01/04/20,1070.304565,RELIANCE.NS,1111.712036,1114.040039,1035.38562,1062.881592,19197220.0
03/04/20,1067.332764,RELIANCE.NS,1123.797485,1123.797485,1046.381348,1059.93042,19091236.0
07/04/20,1194.77478,RELIANCE.NS,1091.751343,1202.600586,1089.671021,1186.488525,25093419.0
08/04/20,1180.955688,RELIANCE.NS,1168.9198,1217.459717,1149.107666,1172.765259,23019764.0
09/04/20,1208.494629,RELIANCE.NS,1202.600586,1221.223999,1181.797729,1200.113159,15244658.0
13/04/20,1177.983887,RELIANCE.NS,1192.644897,1203.591187,1168.9198,1169.814087,10925447.0
15/04/20,1139.052856,RELIANCE.NS,1185.809692,1224.393921,1132.267212,1131.153076,16301024.0
16/04/20,1157.082031,RELIANCE.NS,1139.052856,1176.299805,1134.248413,1149.057251,17285802.0
17/04/20,1212.506592,RELIANCE.NS,1204.581787,1218.450317,1181.45105,1204.09729,15353792.0
20/04/20,1232.120728,RELIANCE.NS,1214.487915,1245.196777,1190.713257,1223.575439,16628269.0
21/04/20,1225.731323,RELIANCE.NS,1198.638062,1240.243774,1153.070068,1217.230347,28322996.0
22/04/20,1350.795776,RELIANCE.NS,1307.605225,1371.895752,1287.792969,1341.427368,65848350.0
23/04/20,1358.027222,RELIANCE.NS,1354.51062,1372.836914,1340.592529,1348.608765,30211857.0
24/04/20,1403.694336,RELIANCE.NS,1337.472046,1480.912476,1334.549805,1393.959106,62296159.0
27/04/20,1416.324707,RELIANCE.NS,1420.53479,1461.14978,1409.638062,1406.501831,26989849.0
28/04/20,1414.739624,RELIANCE.NS,1436.384521,1441.783325,1379.077759,1404.927856,36206232.0
29/04/20,1413.550903,RELIANCE.NS,1431.332397,1440.000244,1406.66626,1403.747314,17303785.0
30/04/20,1452.234253,RELIANCE.NS,1440.297363,1480.912476,1424.546753,1442.162476,32926121.0
04/05/20,1421.723511,RELIANCE.NS,1426.478394,1451.243652,1404.140137,1411.863281,24670336.0
05/05/20,1446.934448,RELIANCE.NS,1440.049805,1465.112183,1433.61084,1436.899292,20723079.0
06/05/20,1447.033569,RELIANCE.NS,1450.253052,1471.006348,1431.926758,1436.997803,18685710.0
07/05/20,1492.799805,RELIANCE.NS,1441.337524,1499.43689,1431.431519,1482.446655,23087436.0
08/05/20,1547.134766,RELIANCE.NS,1530.492432,1565.064697,1522.666626,1536.404785,38887255.0
11/05/20,1561.993896,RELIANCE.NS,1565.163818,1599.835205,1557.536133,1551.160767,30959745.0
12/05/20,1465.359863,RELIANCE.NS,1550.106567,1553.623169,1451.243652,1455.197021,46465281.0
13/05/20,1496.449951,RELIANCE.NS,1527.0,1527.0,1454.0,1486.071411,30657492.0
14/05/20,1435.949951,RELIANCE.NS,1469.0,1496.699951,1430.050049,1425.991089,22736607.0
15/05/20,1459.400024,RELIANCE.NS,1444.0,1466.699951,1415.099976,1449.278442,28683258.0
18/05/20,1440.75,RELIANCE.NS,1470.0,1482.0,1428.0,1430.757813,28980385.0
19/05/20,1408.900024,RELIANCE.NS,1457.0,1461.699951,1403.25,1399.128784,19528760.0
20/05/20,1433.699951,RELIANCE.NS,1410.0,1446.849976,1393.0,1423.756714,25530626.0
21/05/20,1441.25,RELIANCE.NS,1435.0,1461.449951,1425.0,1431.254395,18076017.0
22/05/20,1431.550049,RELIANCE.NS,1451.800049,1458.0,1426.5,1421.621704,17458065.0
26/05/20,1424.050049,RELIANCE.NS,1448.150024,1449.699951,1416.300049,1414.173706,15329472.0
27/05/20,1445.550049,RELIANCE.NS,1431.0,1454.0,1412.0,1435.524658,16460756.0
28/05/20,1472.25,RELIANCE.NS,1455.0,1479.75,1449.0,1462.039429,18518271.0
29/05/20,1464.400024,RELIANCE.NS,1468.0,1472.0,1452.650024,1454.243774,18470390.0
01/06/20,1520.349976,RELIANCE.NS,1480.0,1538.349976,1475.949951,1509.805786,18434012.0
02/06/20,1535.699951,RELIANCE.NS,1526.0,1540.0,1520.800049,1525.049194,10224049.0
03/06/20,1541.650024,RELIANCE.NS,1545.0,1560.0,1533.349976,1530.95813,11713461.0
04/06/20,1579.800049,RELIANCE.NS,1544.0,1589.5,1541.0,1568.843506,15784379.0
05/06/20,1581.699951,RELIANCE.NS,1595.0,1618.0,1573.699951,1570.730225,15264885.0
08/06/20,1569.5,RELIANCE.NS,1618.400024,1618.400024,1565.0,1558.614868,14497996.0
09/06/20,1537.150024,RELIANCE.NS,1560.300049,1583.0,1533.0,1526.489258,11933076.0
10/06/20,1572.150024,RELIANCE.NS,1543.099976,1579.550049,1540.050049,1561.24646,10214213.0
11/06/20,1537.699951,RELIANCE.NS,1566.0,1567.949951,1531.0,1527.0354,9408046.0
