Date,Actual_Close,Predicted_Close,Predicted_Close_Minimum,Predicted_Close_Maximum,Percent_Change_from_Close,Actual_Up_Down,Predicted_Up_Down,Company
2022-09-14,2588.350098,3001.0289735484707,2913.168625669077,3084.0017678930917,0.15943703901081424,Down,Down,RELIANCE.NS
2022-09-15,2562.699951,3004.777942166808,2912.0358984249965,3090.4106605092074,-17.250477996626294,Down,Up,RELIANCE.NS
2022-09-16,2499.199951,3023.3404036606485,2921.642386458885,3107.7730853361895,-20.97232966297575,Down,Up,RELIANCE.NS
2022-09-19,2502.449951,3067.6149631821527,2964.8564308409336,3156.9420029379594,-22.58446815115355,Up,Up,RELIANCE.NS
2022-09-20,2502.850098,3056.2970444591715,2951.4432793720716,3151.068365798387,-22.11266854940394,Up,Down,RELIANCE.NS
2022-09-21,2509.75,3062.2164251695435,2944.540801051201,3159.311162696202,-22.012807059250665,Up,Up,RELIANCE.NS
2022-09-22,2486.100098,3081.3837685439867,2963.8019153760747,3179.1445413733927,-23.944477176235836,Down,Up,RELIANCE.NS
2022-09-23,2439.5,3083.1497980099766,2954.951743477128,3186.6153901345465,-26.38449674154444,Down,Up,RELIANCE.NS
2022-09-26,2377.350098,3048.842975579519,2905.951487106786,3152.7384425339815,-28.245435038971667,Down,Down,RELIANCE.NS
2022-09-27,2396.25,3073.663941168988,2930.393628249872,3184.9355299184335,-28.269752370119477,Up,Up,RELIANCE.NS
2022-09-28,2332.449951,3131.164286972126,2984.879187663459,3244.3953836024752,-34.24357875845053,Down,Up,RELIANCE.NS
2022-09-29,2325.300049,3151.5178871338444,2981.2220899993745,3270.2797624495706,-35.53166562264346,Down,Up,RELIANCE.NS
2022-09-30,2377.75,3122.755130505906,2958.1534322397706,3249.3098752036103,-31.33235750208836,Up,Down,RELIANCE.NS
2022-10-03,2369.5,3178.6851535524447,2992.387408355036,3312.0374064784164,-34.15003813262058,Down,Up,RELIANCE.NS
2022-10-04,2413.199951,3187.79125772963,2988.5749919610494,3338.7989837388095,-32.09809889183236,Up,Up,RELIANCE.NS
2022-10-06,2422.100098,3231.5260970740947,3012.0472363442386,3380.108444213078,-33.41835458173103,Up,Up,RELIANCE.NS
2022-10-07,2432.350098,3199.2897435265354,2973.929391104511,3352.1763973919465,-31.530808256473925,Up,Down,RELIANCE.NS
2022-10-10,2405.800049,3225.2143521233647,2968.5073174576305,3394.9697716075557,-34.0599503879786,Down,Up,RELIANCE.NS
2022-10-11,2357.899902,3232.135561986548,2973.090185359984,3413.536213658117,-37.07687757419262,Down,Up,RELIANCE.NS
2022-10-12,2375.25,3250.8332106618623,2973.058419045471,3444.5427213315766,-36.86278120879328,Up,Up,RELIANCE.NS
2022-10-13,2382.800049,3254.3805915515277,2979.638581128059,3440.384569636127,-36.57799750832252,Up,Up,RELIANCE.NS
2022-10-14,2370.699951,3274.160292053785,2967.666399247631,3477.5598372980953,-38.109434332788105,Down,Up,RELIANCE.NS
2022-10-17,2408.75,3255.768297412878,2930.1031259115944,3494.4752925283897,-35.16422615102763,Up,Down,RELIANCE.NS
2022-10-18,2451.25,3229.328823175159,2917.8712421313635,3464.253975429421,-31.74212435186778,Up,Down,RELIANCE.NS
2022-10-19,2452.850098,3249.2862209593154,2898.2982117358806,3500.6988284228064,-32.46982453631031,Up,Up,RELIANCE.NS
2022-10-20,,3283.15302155926,3018.66849027475,3585.4079700263137,,nan,Up,RELIANCE.NS
